sample	subsample	rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Yale-TB146	0.5	NC_000962.3	1	4411532	1056404	2067779	46.8721	27.0086	39.6	60
Yale-TB146	1.0	NC_000962.3	1	4411532	2111084	2850820	64.622	53.9839	39.6	60
Yale-TB111	0.05	NC_000962.3	1	4411532	2211	119462	2.70795	0.059986	39.6	60
Yale-TB111	0.125	NC_000962.3	1	4411532	5687	282931	6.41344	0.155199	39.6	60
Yale-TB111	0.1	NC_000962.3	1	4411532	4532	232980	5.28116	0.123691	39.6	60
Yale-TB111	0.25	NC_000962.3	1	4411532	11660	528665	11.9837	0.318408	39.6	60
Yale-TB111	0.5	NC_000962.3	1	4411532	23047	900229	20.4063	0.62923	39.6	60
Yale-TB111	1.0	NC_000962.3	1	4411532	46381	1436416	32.5605	1.26792	39.6	60
Yale-TB144	0.05	NC_000962.3	1	4411532	171440	2739251	62.093	4.96591	39.5	60
Yale-TB144	0.125	NC_000962.3	1	4411532	430712	3500741	79.3543	12.4689	39.5	60
Yale-TB144	0.1	NC_000962.3	1	4411532	344170	3342419	75.7655	9.96332	39.5	60
Yale-TB144	0.25	NC_000962.3	1	4411532	861464	3874005	87.8154	24.9328	39.5	60
Yale-TB144	0.5	NC_000962.3	1	4411532	1723638	4088646	92.6809	49.8874	39.5	60
Yale-TB144	1.0	NC_000962.3	1	4411532	3446032	4196587	95.1277	99.7395	39.5	60
Yale-TB131	0.05	NC_000962.3	1	4411532	23368	942259	21.359	0.668687	39.5	60
Yale-TB131	0.125	NC_000962.3	1	4411532	58180	1740697	39.4579	1.66316	39.5	60
Yale-TB131	0.1	NC_000962.3	1	4411532	46518	1517960	34.4089	1.3298	39.5	60
Yale-TB131	0.25	NC_000962.3	1	4411532	116564	2496062	56.5804	3.33018	39.5	60
Yale-TB131	0.5	NC_000962.3	1	4411532	233221	3217552	72.935	6.66174	39.5	60
Yale-TB131	1.0	NC_000962.3	1	4411532	466324	3742358	84.8313	13.3258	39.5	60
